complaint,emotion
"High number of respiratory problems due to pollution near by the lake, Visakhapatnam.",concern
"Heavy speeding by bikes near the school in by the lake, Nagpur creating danger.",concern
"High number of respiratory problems due to pollution near by the lake, Kolkata.",concern
"High number of respiratory problems due to pollution near at the bus stop, Bhopal.",concern
High fever and body pain in many houses in my colony.,concern
"Heavy speeding by bikes near the school in outside the school, Patna creating danger.",concern
Harassment incidents reported on inside the hostel road in Surat.,concern
Harassment incidents reported on inside the hostel road in Mysuru.,concern
Hospital staff in Mumbai behaving rudely toward patients.,concern
Hospital staff in Mumbai behaving rudely toward patients.,concern
"Kitchen waste attracting stray animals in behind the apartment, Madurai.",concern
"Kitchen waste attracting stray animals in at the bus stop, Mumbai.",concern
"Kitchen waste attracting stray animals in at the bus stop, Jaipur.",concern
"Illegal parking blocking emergency access at opposite the hospital, Guwahati.",concern
"Illegal parking blocking emergency access at near the railway station, Lucknow.",concern
"Illegal parking blocking emergency access at near the railway station, Bhopal.",concern
"Illegal parking blocking emergency access at near the market, Trichy.",concern
"Illegal parking blocking emergency access at inside the hostel, Bengaluru.",concern
"Illegal parking blocking emergency access at by the lake, Indore.",concern
"Illegal parking blocking emergency access at behind the apartment, Coimbatore.",concern
"Garbage truck skipped collection for a week in opposite the hospital, Pune.",concern
Harassment incidents reported on at the bus stop road in Coimbatore.,concern
"Kitchen waste attracting stray animals in behind the apartment, Thiruvananthapuram.",concern
I suspect adulteration in the cooking oil used by mess.,concern
I found insects inside a biscuit packet bought from a tea stall in Bhopal.,concern
I found insects inside a biscuit packet bought from a street vendor in Pune.,concern
I found insects inside a biscuit packet bought from a street vendor in Kochi.,concern
I found insects inside a biscuit packet bought from a ration shop in Trichy.,concern
I found insects inside a biscuit packet bought from a mess in Trichy.,concern
Hospital staff in Visakhapatnam behaving rudely toward patients.,concern
Hospital staff in Vellore behaving rudely toward patients.,concern
Harassment incidents reported on in the municipal ward road in Kochi.,concern
Hospital staff in Thiruvananthapuram behaving rudely toward patients.,concern
Hospital staff in Patna behaving rudely toward patients.,concern
Hospital staff in Patna behaving rudely toward patients.,concern
Hospital staff in Mysuru behaving rudely toward patients.,concern
Harassment incidents reported on behind the apartment road in Surat.,concern
"Multiple theft incidents reported in near the temple, Lucknow.",concern
"Multiple theft incidents reported in near the temple, Thiruvananthapuram.",concern
"Garbage collection delayed for days in by the lake, Surat.",concern
Overhead tank in our building hasn't been cleaned for months in Trichy.,concern
Food package from dhabha had tampered expiry date.,concern
Food package from dhabha had tampered expiry date.,concern
Overhead tank in our building hasn't been cleaned for months in Nagpur.,concern
Overhead tank in our building hasn't been cleaned for months in Kochi.,concern
Overhead tank in our building hasn't been cleaned for months in Jaipur.,concern
Overhead tank in on the main road hasn't been cleaned; water tastes strange.,concern
Overhead tank in next to the metro station hasn't been cleaned; water tastes strange.,concern
Overhead tank in near the temple hasn't been cleaned; water tastes strange.,concern
Overhead tank in near the railway station hasn't been cleaned; water tastes strange.,concern
Food package from mess had tampered expiry date.,concern
Overhead tank in in our colony hasn't been cleaned; water tastes strange.,concern
Overhead tank in in our colony hasn't been cleaned; water tastes strange.,concern
Overhead tank in beside the park hasn't been cleaned; water tastes strange.,concern
Overhead tank in behind the apartment hasn't been cleaned; water tastes strange.,concern
Overhead tank in behind the apartment hasn't been cleaned; water tastes strange.,concern
"Overflowing drain in outside the school, Indore attracting insects.",concern
"Overflowing drain in outside the school, Bengaluru smells bad and attracts flies.",concern
"Overflowing drain in next to the metro station, Chennai attracting insects.",concern
Food package from restaurant had tampered expiry date.,concern
"Overflowing drain in near the temple, Patna attracting insects.",concern
"Overflowing drain in near the temple, Hyderabad attracting insects.",concern
"Overflowing drain in near the temple, Bhopal smells bad and attracts flies.",concern
"Overflowing drain in near the railway station, Kolkata attracting insects.",concern
"Overflowing drain in near the market, Kolkata attracting insects.",concern
Food package from canteen had tampered expiry date.,concern
"Overspeeding vehicles causing danger near at the bus stop, Trichy.",concern
"Overspeeding vehicles causing danger near behind the apartment, Trichy.",concern
"Overspeeding vehicles causing danger near behind the apartment, Trichy.",concern
"People dumping plastic near the empty plot in by the lake, Chennai.",concern
"People dumping plastic near the empty plot in behind the apartment, Kochi.",concern
Expired snacks being sold by the fruit seller in Thiruvananthapuram.,concern
"People dump plastic waste in the empty plot near outside the school, Coimbatore.",concern
"People dump plastic waste in the empty plot near by the lake, Kolkata.",concern
"People dump plastic waste in the empty plot near at the bus stop, Nagpur.",concern
Patient not moved because ambulance took too long to arrive from near the market.,concern
"Packaged milk from the tea stall in near the temple, Madurai seems diluted.",concern
Expired snacks being sold by the restaurant in Coimbatore.,concern
"Packaged milk from the ration shop in in the municipal ward, Patna seems diluted.",concern
"Packaged milk from the mess in near the temple, Bhopal seems diluted.",concern
"Packaged milk from the dhabha in outside the school, Trichy seems diluted.",concern
"Overflowing drain in near the market, Bengaluru smells bad and attracts flies.",concern
Expired snacks being sold by the restaurant in Mangalore.,concern
"Overspeeding vehicles causing danger near opposite the hospital, Chennai.",concern
Expired snacks being sold by the tea stall in Bhopal.,concern
Expired snacks being sold by the vegetable stall in Chennai.,concern
"Expired spices were used in the bakery at near the temple, Bengaluru.",concern
"Expired spices were used in the dhabha at by the lake, Hyderabad.",concern
"Overspeeding vehicles causing danger near near the railway station, Jaipur.",concern
"Overspeeding vehicles causing danger near inside the hostel, Mumbai.",concern
"Overspeeding vehicles causing danger near inside the hostel, Kochi.",concern
"Overspeeding vehicles causing danger near beside the park, Kochi.",concern
Food package from bakery had tampered expiry date.,concern
Food package from bakery had tampered expiry date.,concern
Food package from bakery had tampered expiry date.,concern
Expired snacks being sold by the restaurant in Patna.,concern
"Overflowing drain in inside the hostel, Patna smells bad and attracts flies.",concern
"Overflowing drain in in our colony, Bengaluru smells bad and attracts flies.",concern
Food package from tea stall had tampered expiry date.,concern
Food poisoning cases reported after eating at tea stall in Kolkata.,concern
"No doctor available at the nearby PHC during emergency in outside the school, Bhopal.",concern
"No doctor available at the nearby PHC during emergency in on the main road, Pune.",concern
"No doctor available at the nearby PHC during emergency in in our colony, Kolkata.",concern
"No doctor available at local PHC in outside the school, Delhi.",concern
"No doctor available at local PHC in opposite the hospital, Indore.",concern
"No doctor available at local PHC in opposite the hospital, Indore.",concern
Food poisoning cases reported after eating at vegetable stall in Madurai.,concern
Food served in the college mess in Kochi tasted rotten and caused stomach upset.,concern
"No doctor available at local PHC in next to the metro station, Trichy.",concern
"No doctor available at local PHC in next to the metro station, Nagpur.",concern
"No doctor available at local PHC in near the temple, Mumbai.",concern
Food poisoning cases reported after eating at tea stall in Kochi.,concern
"No doctor available at local PHC in near the railway station, Trichy.",concern
"No doctor available at local PHC in near the railway station, Nagpur.",concern
"No doctor available at local PHC in inside the hostel, Vellore.",concern
"No doctor available at local PHC in inside the hostel, Pune.",concern
"Garbage collection delayed for days in at the bus stop, Vellore.",concern
"No doctor available at local PHC in in our colony, Visakhapatnam.",concern
"Garbage collection delayed for days in behind the apartment, Lucknow.",concern
"No doctor available at local PHC in beside the park, Jaipur.",concern
My child developed rashes after drinking water from the municipal supply in beside the park.,concern
My child developed rashes after drinking water from the municipal supply in beside the park.,concern
"Multiple theft incidents reported in outside the school, Patna.",concern
"Garbage collection delayed for days in by the lake, Madurai.",concern
"Garbage collection delayed for days in by the lake, Mangalore.",concern
"No doctor available at local PHC in near the railway station, Patna.",concern
"People dumping plastic near the empty plot in by the lake, Thiruvananthapuram.",concern
Food poisoning cases reported after eating at street vendor in Thiruvananthapuram.,concern
"No water supply since morning in at the bus stop, Surat.",concern
"Overflowing drain in by the lake, Thiruvananthapuram attracting insects.",concern
"Overflowing drain in by the lake, Mumbai attracting insects.",concern
Food package from vegetable stall had tampered expiry date.,concern
"Overflowing drain in by the lake, Kolkata attracting insects.",concern
"Overflowing drain in by the lake, Delhi attracting insects.",concern
Food poisoning after eating at the canteen in Coimbatore; many falling sick.,concern
"Overflowing drain in at the bus stop, Patna attracting insects.",concern
Open burning of trash in on the main road causes smoke and breathing problems.,concern
Food poisoning after eating at the canteen in Thiruvananthapuram; many falling sick.,concern
Open burning of trash in in the municipal ward causes smoke and breathing problems.,concern
"No zebra crossing near the busy junction in near the temple, Kolkata; pedestrians at risk.",concern
"No zebra crossing near the busy junction in in our colony, Hyderabad; pedestrians at risk.",concern
"No drinking water supplied to the flats in on the main road, Kolkata.",concern
Food poisoning cases reported after eating at canteen in Nagpur.,concern
"No water supply since morning in opposite the hospital, Nagpur.",concern
"No water supply since morning in on the main road, Pune.",concern
"No water supply since morning in on the main road, Coimbatore.",concern
"No water supply since morning in next to the metro station, Mumbai.",concern
"No water supply since morning in next to the metro station, Bengaluru.",concern
"No water supply since morning in inside the hostel, Pune.",concern
Food poisoning cases reported after eating at milkman in Kolkata.,concern
Food poisoning cases reported after eating at milkman in Mysuru.,concern
Food poisoning cases reported after eating at milkman in Trichy.,concern
Food poisoning cases reported after eating at ration shop in Jaipur.,concern
"No water supply since morning in in the municipal ward, Guwahati.",concern
Food poisoning cases reported after eating at ration shop in Pune.,concern
Food poisoning cases reported after eating at fruit seller in Delhi.,concern
"Residents in next to the metro station, Surat are receiving very low water pressure.",concern
Dairy products from tea stall in Thiruvananthapuram had foul smell.,concern
"Suspected dengue cases rising in by the lake, Bengaluru.",concern
Suspicious activities noticed near near the temple school in Mangalore.,concern
Suspicious activities noticed near near the railway station school in Visakhapatnam.,concern
"Borewell has run dry; villagers in near the market, Thiruvananthapuram need a new source.",concern
Suspicious activities noticed near near the railway station school in Kochi.,concern
"Borewell has run dry; villagers in on the main road, Lucknow need a new source.",concern
Suspicious activities noticed near in the municipal ward school in Lucknow.,concern
Suspicious activities noticed near in the municipal ward school in Jaipur.,concern
"Busy junction at at the bus stop, Lucknow lacks pedestrian crossing.",concern
"Busy junction at at the bus stop, Surat lacks pedestrian crossing.",concern
Suspicious activities noticed near by the lake school in Mangalore.,concern
Suspicious activities noticed near behind the apartment school in Delhi.,concern
Suspicious activities noticed near at the bus stop school in Madurai.,concern
Suspicious activities noticed near outside the school school in Bengaluru.,concern
"Suspected dengue cases rising in outside the school, Hyderabad.",concern
"Busy junction at by the lake, Surat lacks pedestrian crossing.",concern
"Suspected dengue cases rising in opposite the hospital, Indore.",concern
"Busy junction at by the lake, Visakhapatnam lacks pedestrian crossing.",concern
"Suspected dengue cases rising in on the main road, Kolkata.",concern
"Suspected dengue cases rising in near the temple, Madurai.",concern
"Suspected dengue cases rising in near the railway station, Trichy.",concern
"Suspected dengue cases rising in near the railway station, Coimbatore.",concern
"Suspected dengue cases rising in near the market, Madurai.",concern
"Suspected dengue cases rising in inside the hostel, Mumbai.",concern
"Suspected dengue cases rising in in the municipal ward, Vellore.",concern
"Suspected dengue cases rising in in the municipal ward, Indore.",concern
"Suspected dengue cases rising in in our colony, Vellore.",concern
"Busy junction at beside the park, Vellore lacks pedestrian crossing.",concern
"Suspected dengue cases rising in beside the park, Vellore.",concern
Tap water in at the bus stop of Patna has been muddy and smells foul.,concern
Tap water in in our colony of Kolkata has been muddy and smells foul.,concern
The footpath is broken and unsafe for senior citizens.,concern
"The food served at the vegetable stall in next to the metro station, Delhi was stale.",concern
"The food served at the tea stall in in our colony, Mumbai was stale.",concern
"Borewell dried up; families in in our colony, Mangalore are struggling.",concern
"Borewell dried up; families in in our colony, Mumbai are struggling.",concern
"The food served at the street vendor in in the municipal ward, Visakhapatnam was stale.",concern
"The food served at the ration shop in near the market, Kochi was stale.",concern
"The food served at the ration shop in in the municipal ward, Bengaluru was stale.",concern
"Borewell dried up; families in in the municipal ward, Visakhapatnam are struggling.",concern
"Borewell dried up; families in inside the hostel, Bhopal are struggling.",concern
"Borewell dried up; families in inside the hostel, Kochi are struggling.",concern
"Borewell dried up; families in inside the hostel, Thiruvananthapuram are struggling.",concern
"Borewell dried up; families in outside the school, Mangalore are struggling.",concern
"The food served at the dhabha in behind the apartment, Kochi was stale.",concern
The drainage near my home is clogged and water is stagnant.,concern
The CCTV camera near our street is not functioning.,concern
Tap water in outside the school of Kolkata has been muddy and smells foul.,concern
Tap water in outside the school of Indore has been muddy and smells foul.,concern
Tap water in outside the school of Chennai has been muddy and smells foul.,concern
Tap water in on the main road of Hyderabad has been discolored and smells bad for two days.,concern
Tap water in near the railway station of Madurai has been muddy and smells foul.,concern
Tap water in near the market of Guwahati has been muddy and smells foul.,concern
Tap water in near the market of Delhi has been muddy and smells foul.,concern
Tap water in inside the hostel of Visakhapatnam has been muddy and smells foul.,concern
"Borewell dried up; families in opposite the hospital, Bhopal are struggling.",concern
Tap water in in the municipal ward of Jaipur has been muddy and smells foul.,concern
"Borewell dried up; families in near the market, Kochi are struggling.",concern
The fruits sold in the market look chemically ripened.,concern
"Suspected dengue cases rising in behind the apartment, Mysuru.",concern
"Suspected dengue cases reported in near the temple, Bengaluru; mosquitoes everywhere.",concern
Children fell sick after eating mid-day meal at school in Lucknow.,concern
"Street mess cooking in unhygienic conditions in opposite the hospital, Trichy.",concern
Children fell sick after eating mid-day meal at school in Mumbai.,concern
Children fell sick after eating mid-day meal at school in Thiruvananthapuram.,concern
"Street mess cooking in unhygienic conditions in inside the hostel, Bhopal.",concern
"Street mess cooking in unhygienic conditions in at the bus stop, Kolkata.",concern
"Street lights on the main road in inside the hostel, Visakhapatnam are not working; it's very dark at night.",concern
Children fell sick after eating mid-day meal at school in Visakhapatnam.,concern
"Street lights on the main road in in the municipal ward, Bengaluru are not working; it's very dark at night.",concern
"Street lights on the main road in beside the park, Guwahati are not working; it's very dark at night.",concern
"Street lights are not functioning in opposite the hospital, Bhopal; unsafe at night.",concern
"Street lights are not functioning in near the temple, Thiruvananthapuram; unsafe at night.",concern
"Street milkman cooking in unhygienic conditions in beside the park, Thiruvananthapuram.",concern
Clinic staff at the government hospital were rude and unhelpful in Mumbai.,concern
"Construction debris dumped illegally near at the bus stop, obstructing road.",concern
"Street lights are not functioning in in our colony, Thiruvananthapuram; unsafe at night.",concern
"Street lights are not functioning in beside the park, Coimbatore; unsafe at night.",concern
"Street lights are not functioning in at the bus stop, Thiruvananthapuram; unsafe at night.",concern
"Street lights are not functioning in at the bus stop, Jaipur; unsafe at night.",concern
"Street fruit seller cooking in unhygienic conditions in near the market, Bhopal.",concern
"Street fruit seller cooking in unhygienic conditions in behind the apartment, Indore.",concern
"Construction debris dumped illegally near by the lake, obstructing road.",concern
"Street bakery cooking in unhygienic conditions in near the temple, Lucknow.",concern
"Construction debris dumped illegally near in the municipal ward, obstructing road.",concern
"Construction debris dumped illegally near in the municipal ward, obstructing road.",concern
"Street bakery cooking in unhygienic conditions in near the market, Mysuru.",concern
"Street lights are not functioning in near the market, Mumbai; unsafe at night.",concern
"Suspected dengue cases rising in at the bus stop, Lucknow.",concern
"Street milkman cooking in unhygienic conditions in near the temple, Madurai.",concern
Children fell sick after eating mid-day meal at school in Bengaluru.,concern
"Suspected dengue cases reported in in our colony, Coimbatore; mosquitoes everywhere.",concern
"Busy junction at outside the school, Kolkata lacks pedestrian crossing.",concern
"Suspected dengue cases reported in by the lake, Jaipur; mosquitoes everywhere.",concern
Child developed rashes after drinking municipal water in at the bus stop.,concern
Child developed rashes after drinking municipal water in behind the apartment.,concern
"Students fell ill after eating from the vegetable stall in in the municipal ward, Bengaluru.",concern
Child developed rashes after drinking municipal water in by the lake.,concern
"Students fell ill after eating from the ration shop in inside the hostel, Kochi.",concern
"Students fell ill after eating from the ration shop in behind the apartment, Guwahati.",concern
"Students fell ill after eating from the milkman in beside the park, Patna.",concern
"Students fell ill after eating from the mess in by the lake, Delhi.",concern
Child developed rashes after drinking municipal water in inside the hostel.,concern
Children fell sick after eating mid-day meal at school in Bhopal.,concern
Child developed rashes after drinking municipal water in inside the hostel.,concern
"Students fell ill after eating from the local shop in beside the park, Patna.",concern
"Students fell ill after eating from the fruit seller in near the market, Indore.",concern
"Students fell ill after eating from the fruit seller in beside the park, Mangalore.",concern
"Students fell ill after eating from the fruit seller in at the bus stop, Thiruvananthapuram.",concern
Child developed rashes after drinking municipal water in near the railway station.,concern
Child developed rashes after drinking municipal water in near the temple.,concern
"Students fell ill after eating from the canteen in at the bus stop, Pune.",concern
Street vendors are preparing food in very unsanitary conditions.,concern
Child developed rashes after drinking municipal water in opposite the hospital.,concern
"Street street vendor cooking in unhygienic conditions in by the lake, Bhopal.",concern
"Street restaurant cooking in unhygienic conditions in on the main road, Mumbai.",concern
Child fell sick due to dirty surroundings near the house.,concern
Child developed rashes after drinking municipal water in near the market.,concern
"Stray dogs attacking pedestrians in outside the school, Thiruvananthapuram.",concern
"The local park has no security guard, making it unsafe for children.",concern
The milk supplied in the ration shop seems diluted.,concern
"Ambulance delays causing panic in inside the hostel, Bengaluru.",concern
"Vegetables sold at the local market in in our colony, Lucknow appear rotten and overpriced.",concern
"Ambulance delays causing panic in inside the hostel, Jaipur.",concern
"Vegetables sold at the local market in beside the park, Bhopal appear rotten and overpriced.",concern
Vegetables in the opposite the hospital market of Indore were rotten and overpriced.,concern
Vegetables in the next to the metro station market of Guwahati were rotten and overpriced.,concern
Vegetables in the near the temple market of Madurai were rotten and overpriced.,concern
Vegetables in the near the temple market of Indore were rotten and overpriced.,concern
Vegetables in the near the railway station market of Surat were rotten and overpriced.,concern
"Ambulance delays causing panic in next to the metro station, Mysuru.",concern
Vegetables in the in the municipal ward market of Coimbatore were rotten and overpriced.,concern
"Ambulance delays causing panic in on the main road, Trichy.",concern
"Vegetables sold at the local market in near the market, Kolkata appear rotten and overpriced.",concern
Vegetables in the in our colony market of Delhi were rotten and overpriced.,concern
Vegetables in the beside the park market of Bengaluru were rotten and overpriced.,concern
Vegetables in the behind the apartment market of Patna were rotten and overpriced.,concern
"Ambulance delays causing panic in outside the school, Trichy.",concern
"Ambulance delays causing panic in outside the school, Trichy.",concern
Vegetables in the behind the apartment market of Madurai were rotten and overpriced.,concern
"Auto drivers are overcharging and harassing passengers near by the lake, Lucknow.",concern
"Auto drivers are overcharging and harassing passengers near by the lake, Lucknow.",concern
"Uncollected kitchen waste is attracting stray animals in inside the hostel, Lucknow.",concern
"Uncollected kitchen waste is attracting stray animals in by the lake, Vellore.",concern
"Auto drivers are overcharging and harassing passengers near inside the hostel, Visakhapatnam.",concern
"Uncollected kitchen waste is attracting stray animals in by the lake, Bhopal.",concern
"Unannounced water cut affecting households in opposite the hospital, Hyderabad.",concern
Vegetables in the beside the park market of Mangalore were rotten and overpriced.,concern
"Auto drivers are overcharging and harassing passengers near near the market, Visakhapatnam.",concern
"Ambulance delays causing panic in in our colony, Visakhapatnam.",concern
Water supply is cut off without notice; elderly people in near the market are affected.,concern
"Water tanker skipped our street in outside the school, causing shortage.",concern
"Water tanker skipped our street in outside the school, causing shortage.",concern
"A stray dog attacked a child near in our colony, Bhopal.",concern
"Water tanker skipped our street in near the temple, causing shortage.",concern
"Water tanker skipped our street in near the railway station, causing shortage.",concern
"A stray dog attacked a child near near the temple, Trichy.",concern
"A stray dog attacked a child near on the main road, Kolkata.",concern
"A stray dog attacked a child near outside the school, Madurai.",concern
"Water tanker skipped our street in near the market, causing shortage.",concern
"Water tanker skipped our street in inside the hostel, causing shortage.",concern
"A suspicious person was seen loitering near the school in at the bus stop, Pune.",concern
"Water tanker skipped our street in in the municipal ward, causing shortage.",concern
"Vegetables sold at the local market in near the temple, Trichy appear rotten and overpriced.",concern
"Water tanker skipped our street in by the lake, causing shortage.",concern
"A suspicious person was seen loitering near the school in near the temple, Kolkata.",concern
"Water tanker skipped our street in by the lake, causing shortage.",concern
"A suspicious person was seen loitering near the school in outside the school, Pune.",concern
"Water tanker skipped our street in at the bus stop, causing shortage.",concern
"Water tanker skipped our street in at the bus stop, causing shortage.",concern
"Ambulance delays causing panic in behind the apartment, Coimbatore.",concern
"Water tanker did not arrive in inside the hostel, causing acute shortage for residents.",concern
"Water tanker did not arrive in by the lake, causing acute shortage for residents.",concern
"Water tanker did not arrive in beside the park, causing acute shortage for residents.",concern
Water tank cleaning hasn't been done for months.,concern
"Ambulance delays causing panic in by the lake, Guwahati.",concern
Water supply is cut off without notice; elderly people in near the temple are affected.,concern
"Water tanker skipped our street in by the lake, causing shortage.",concern
The midday meal in school is watery and lacks nutrition.,concern
"Unannounced water cut affecting households in on the main road, Mysuru.",concern
"Unannounced water cut affecting households in near the temple, Chennai.",concern
Traffic signals not working at beside the park intersection in Bengaluru.,concern
"Biscuit packet bought from milkman in by the lake, Lucknow contained insects.",concern
"Biscuit packet bought from milkman in inside the hostel, Pune contained insects.",concern
Traffic signals not working at at the bus stop intersection in Nagpur.,concern
"Traffic signals are not functioning at the intersection of inside the hostel, Patna.",concern
"Traffic signals are not functioning at the intersection of inside the hostel, Guwahati.",concern
"Biscuit packet bought from restaurant in at the bus stop, Visakhapatnam contained insects.",concern
There is standing water near the park causing mosquitoes.,concern
There is no zebra crossing at the busy junction near the market.,concern
"There is a major leak in the pipeline outside my house in near the market, Kolkata.",concern
"There is a major leak in the pipeline outside my house in inside the hostel, Kochi.",concern
"There is a major leak in the pipeline outside my house in inside the hostel, Guwahati.",concern
Traffic signals not working at beside the park intersection in Thiruvananthapuram.,concern
"There is a major leak in the pipeline outside my house in in the municipal ward, Vellore.",concern
"There is a major leak in the pipeline outside my house in beside the park, Trichy.",concern
There have been frequent thefts reported near near the temple in Kochi.,concern
There have been frequent thefts reported near at the bus stop in Patna.,concern
There have been frequent chain snatching incidents near the temple road.,concern
The underpass is unsafe due to lack of lighting.,concern
"Biscuit packet bought from vegetable stall in near the temple, Lucknow contained insects.",concern
The tap water smells strongly of chlorine today.,concern
The street lights are not working and the road is dark at night.,concern
"Borewell dried up; families in at the bus stop, Lucknow are struggling.",concern
The packaged snack I bought from tea stall had a torn expiry label.,concern
The packaged snack I bought from dhabha had a torn expiry label.,concern
The overhead tank in our colony is leaking heavily.,concern
"Biscuit packet bought from street vendor in inside the hostel, Pune contained insects.",concern
"Unannounced water cut affecting households in next to the metro station, Mysuru.",concern
"Biscuit packet bought from mess in at the bus stop, Visakhapatnam contained insects.",concern
Traffic signals not working at by the lake intersection in Nagpur.,concern
Auto drivers overcharging at behind the apartment in Jaipur.,concern
"Unannounced water cut affecting households in near the market, Lucknow.",concern
"Unannounced water cut affecting households in in the municipal ward, Indore.",concern
Auto drivers overcharging at beside the park in Madurai.,concern
"Unannounced water cut affecting households in beside the park, Indore.",concern
Auto drivers overcharging at beside the park in Vellore.,concern
Auto drivers overcharging at by the lake in Chennai.,concern
"Unannounced water cut affecting households in at the bus stop, Vellore.",concern
Trash burning openly in on the main road; causing health issues.,concern
Trash burning openly in next to the metro station; causing health issues.,concern
Auto drivers overcharging at near the market in Delhi.,concern
Auto drivers overcharging at near the market in Delhi.,concern
Traffic signals not working at by the lake intersection in Bhopal.,concern
Trash burning openly in in the municipal ward; causing health issues.,concern
Auto drivers overcharging at on the main road in Surat.,concern
Traffic signals not working at outside the school intersection in Bhopal.,concern
Auto drivers overcharging at outside the school in Lucknow.,concern
Traffic signals not working at on the main road intersection in Hyderabad.,concern
Traffic signals not working at near the temple intersection in Visakhapatnam.,concern
"Biscuit packet bought from bakery in on the main road, Coimbatore contained insects.",concern
Traffic signals not working at near the market intersection in Indore.,concern
"Biscuit packet bought from dhabha in by the lake, Patna contained insects.",concern
Traffic signals not working at inside the hostel intersection in Kochi.,concern
"Biscuit packet bought from fruit seller in near the railway station, Bengaluru contained insects.",concern
Traffic signals not working at in the municipal ward intersection in Pune.,concern
Traffic signals not working at in our colony intersection in Jaipur.,concern
Auto drivers overcharging at next to the metro station in Chennai.,concern
"Stray dogs attacking pedestrians in on the main road, Coimbatore.",concern
"Heavy speeding by bikes near the school in near the temple, Jaipur creating danger.",concern
"Restaurant in inside the hostel, Kochi served spoiled meat.",concern
Stagnant water near in the municipal ward creating mosquito breeding conditions.,concern
Stagnant water near in the municipal ward creating mosquito breeding conditions.,concern
Stagnant water near in the municipal ward creating mosquito breeding conditions.,concern
Dairy products from ration shop in Pune had foul smell.,concern
"Sewage water overflowing onto the road in inside the hostel, Thiruvananthapuram.",concern
"Contaminated water coming from municipal tap in on the main road, Chennai.",concern
"Dirty water is coming from the municipal tap in on the main road, Bengaluru.",concern
"Contaminated water coming from municipal tap in on the main road, Mysuru.",concern
Dairy products from ration shop in Patna had foul smell.,concern
Stagnant water near near the market creating mosquito breeding conditions.,concern
Stagnant water near near the railway station creating mosquito breeding conditions.,concern
"Dirty water is coming from the municipal tap in on the main road, Pune.",concern
Stagnant water near near the railway station creating mosquito breeding conditions.,concern
"Restaurant in behind the apartment, Chennai served spoiled meat.",concern
Restaurant near on the main road served undercooked chicken and the staff is unhygienic.,concern
"Sewage water overflowing onto the road in on the main road, Indore.",concern
"Respiratory issues increasing due to pollution in near the market, Visakhapatnam.",concern
"Sewage water overflowing onto the road in by the lake, Madurai.",concern
Dumping yard near the colony emits foul smell at night in Jaipur.,concern
"Sewage water overflowing onto the road in by the lake, Hyderabad.",concern
"Respiratory issues increasing due to pollution in near the market, Trichy.",concern
Dumping yard near the colony emits foul smell at night in Kolkata.,concern
"Sewage water overflowing onto the road in by the lake, Hyderabad.",concern
"Sewage water overflowing onto the road in at the bus stop, Visakhapatnam.",concern
"Contaminated water coming from municipal tap in opposite the hospital, Thiruvananthapuram.",concern
"Construction debris dumped illegally near opposite the hospital, obstructing road.",concern
"Several residents have fever and vomiting in on the main road, Kochi; request medical camp.",concern
"Contaminated water coming from municipal tap in outside the school, Madurai.",concern
"Sewage water overflowing onto the road in by the lake, Nagpur.",concern
"Dirty water is coming from the municipal tap in in the municipal ward, Jaipur.",concern
"Dirty water is coming from the municipal tap in in the municipal ward, Guwahati.",concern
"Contaminated water coming from municipal tap in near the temple, Visakhapatnam.",concern
"Restaurant in opposite the hospital, Mysuru served spoiled meat.",concern
"Contaminated water coming from municipal tap in inside the hostel, Chennai.",concern
"Restaurant in on the main road, Coimbatore served spoiled meat.",concern
"Heavy speeding by bikes near the school in near the temple, Lucknow creating danger.",concern
"Restaurant in near the railway station, Kochi served spoiled meat.",concern
Dairy products from tea stall in Bengaluru had foul smell.,concern
"Contaminated water coming from municipal tap in in the municipal ward, Vellore.",concern
Dairy products from street vendor in Jaipur had foul smell.,concern
"Sewage water overflowing onto the road in outside the school, Trichy.",concern
"Sewage water overflowing onto the road in next to the metro station, Thiruvananthapuram.",concern
"Sewage water overflowing onto the road in outside the school, Visakhapatnam.",concern
"Sewage water overflowing onto the road in outside the school, Visakhapatnam.",concern
"Sewage water overflowing onto the road in next to the metro station, Pune.",concern
"Contaminated water coming from municipal tap in in our colony, Bengaluru.",concern
"Restaurant in inside the hostel, Pune served spoiled meat.",concern
"Contaminated water coming from municipal tap in near the railway station, Kolkata.",concern
Stagnant water near at the bus stop creating mosquito breeding conditions.,concern
"Restaurant in inside the hostel, Indore served spoiled meat.",concern
Dairy products from restaurant in Madurai had foul smell.,concern
"Contaminated water coming from municipal tap in by the lake, Mumbai.",concern
"Contaminated water coming from municipal tap in by the lake, Bengaluru.",concern
"Restaurant in in our colony, Delhi served spoiled meat.",concern
"Restaurant in by the lake, Thiruvananthapuram served spoiled meat.",concern
Dengue cases are rising because of mosquitoes everywhere.,concern
Restaurant near at the bus stop served undercooked chicken and the staff is unhygienic.,concern
"Contaminated water coming from municipal tap in behind the apartment, Vellore.",concern
"Contaminated water coming from municipal tap in near the temple, Mangalore.",concern
"Restaurant in behind the apartment, Jaipur served spoiled meat.",concern
"Contaminated water coming from municipal tap in near the temple, Surat.",concern
"Sewage water overflowing onto the road in at the bus stop, Coimbatore.",concern
"Sewage leak on the road in outside the school, causing dangerous slippery surface.",concern
"Several residents have fever and vomiting in near the market, Nagpur; request medical camp.",concern
Stagnant water near opposite the hospital creating mosquito breeding conditions.,concern
