complaint,category
"Suspected dengue cases reported in by the lake, Jaipur; mosquitoes everywhere.",illness
"Suspected dengue cases reported in by the lake, Vellore; mosquitoes everywhere.",illness
"Suspected dengue cases reported in in our colony, Bengaluru; mosquitoes everywhere.",illness
"Suspected dengue cases reported in in our colony, Coimbatore; mosquitoes everywhere.",illness
"Suspected dengue cases reported in in the municipal ward, Bengaluru; mosquitoes everywhere.",illness
"Suspected dengue cases reported in in the municipal ward, Patna; mosquitoes everywhere.",illness
"Suspected dengue cases reported in in the municipal ward, Thiruvananthapuram; mosquitoes everywhere.",illness
"Suspected dengue cases reported in inside the hostel, Bengaluru; mosquitoes everywhere.",illness
"Suspected dengue cases reported in near the market, Delhi; mosquitoes everywhere.",illness
High fever and body pain in many houses in my colony.,illness
"Suspected dengue cases reported in near the market, Jaipur; mosquitoes everywhere.",illness
"High number of respiratory problems due to pollution near at the bus stop, Bhopal.",illness
"High number of respiratory problems due to pollution near beside the park, Pune.",illness
"High number of respiratory problems due to pollution near inside the hostel, Vellore.",illness
"High number of respiratory problems due to pollution near inside the hostel, Trichy.",illness
"High number of respiratory problems due to pollution near inside the hostel, Delhi.",illness
"High number of respiratory problems due to pollution near in the municipal ward, Visakhapatnam.",illness
"High number of respiratory problems due to pollution near in the municipal ward, Thiruvananthapuram.",illness
"High number of respiratory problems due to pollution near in our colony, Trichy.",illness
"High number of respiratory problems due to pollution near in our colony, Madurai.",illness
"High number of respiratory problems due to pollution near in our colony, Lucknow.",illness
"High number of respiratory problems due to pollution near in our colony, Kolkata.",illness
"High number of respiratory problems due to pollution near in our colony, Chennai.",illness
"High number of respiratory problems due to pollution near by the lake, Visakhapatnam.",illness
"High number of respiratory problems due to pollution near by the lake, Thiruvananthapuram.",illness
"High number of respiratory problems due to pollution near by the lake, Patna.",illness
"High number of respiratory problems due to pollution near by the lake, Kolkata.",illness
"High number of respiratory problems due to pollution near beside the park, Trichy.",illness
"High number of respiratory problems due to pollution near beside the park, Patna.",illness
"Suspected dengue cases reported in near the market, Kolkata; mosquitoes everywhere.",illness
"Suspected dengue cases reported in near the market, Visakhapatnam; mosquitoes everywhere.",illness
"Suspected dengue cases reported in near the temple, Bengaluru; mosquitoes everywhere.",illness
"Suspected dengue cases rising in by the lake, Visakhapatnam.",illness
"Suspected dengue cases rising in in our colony, Guwahati.",illness
"Suspected dengue cases rising in in our colony, Hyderabad.",illness
"Suspected dengue cases rising in in our colony, Jaipur.",illness
"Suspected dengue cases rising in in our colony, Lucknow.",illness
"Suspected dengue cases rising in in our colony, Mangalore.",illness
"Suspected dengue cases rising in in our colony, Vellore.",illness
"Suspected dengue cases rising in in our colony, Vellore.",illness
"Suspected dengue cases rising in in the municipal ward, Delhi.",illness
"Suspected dengue cases rising in in the municipal ward, Indore.",illness
"Suspected dengue cases rising in in the municipal ward, Lucknow.",illness
"Suspected dengue cases rising in in the municipal ward, Mangalore.",illness
"Suspected dengue cases rising in in the municipal ward, Pune.",illness
"Suspected dengue cases rising in in the municipal ward, Vellore.",illness
"Suspected dengue cases rising in inside the hostel, Bhopal.",illness
"Suspected dengue cases rising in by the lake, Nagpur.",illness
"Suspected dengue cases rising in by the lake, Delhi.",illness
"Suspected dengue cases rising in by the lake, Bengaluru.",illness
"Suspected dengue cases rising in beside the park, Visakhapatnam.",illness
"Suspected dengue cases reported in near the temple, Kolkata; mosquitoes everywhere.",illness
"Suspected dengue cases reported in near the temple, Visakhapatnam; mosquitoes everywhere.",illness
"Suspected dengue cases reported in outside the school, Trichy; mosquitoes everywhere.",illness
"Suspected dengue cases rising in at the bus stop, Bengaluru.",illness
"Suspected dengue cases rising in at the bus stop, Chennai.",illness
"Suspected dengue cases rising in at the bus stop, Delhi.",illness
"Suspected dengue cases rising in at the bus stop, Jaipur.",illness
"High number of respiratory problems due to pollution near near the market, Hyderabad.",illness
"Suspected dengue cases rising in at the bus stop, Lucknow.",illness
"Suspected dengue cases rising in at the bus stop, Pune.",illness
"Suspected dengue cases rising in at the bus stop, Vellore.",illness
"Suspected dengue cases rising in behind the apartment, Bengaluru.",illness
"Suspected dengue cases rising in behind the apartment, Mysuru.",illness
"Suspected dengue cases rising in beside the park, Indore.",illness
"Suspected dengue cases rising in beside the park, Mangalore.",illness
"Suspected dengue cases rising in beside the park, Vellore.",illness
"Suspected dengue cases rising in at the bus stop, Lucknow.",illness
"Suspected dengue cases rising in inside the hostel, Mumbai.",illness
"High number of respiratory problems due to pollution near near the temple, Hyderabad.",illness
"High number of respiratory problems due to pollution near on the main road, Patna.",illness
Hospital staff in Lucknow behaving rudely toward patients.,illness
Hospital staff in Lucknow behaving rudely toward patients.,illness
Hospital staff in Kolkata behaving rudely toward patients.,illness
Hospital staff in Kolkata behaving rudely toward patients.,illness
Hospital staff in Kolkata behaving rudely toward patients.,illness
Hospital staff in Kochi behaving rudely toward patients.,illness
Hospital staff in Kochi behaving rudely toward patients.,illness
Hospital staff in Jaipur behaving rudely toward patients.,illness
Hospital staff in Jaipur behaving rudely toward patients.,illness
Hospital staff in Jaipur behaving rudely toward patients.,illness
Hospital staff in Jaipur behaving rudely toward patients.,illness
Hospital staff in Jaipur behaving rudely toward patients.,illness
Hospital staff in Jaipur behaving rudely toward patients.,illness
Hospital staff in Hyderabad behaving rudely toward patients.,illness
Hospital staff in Hyderabad behaving rudely toward patients.,illness
Hospital staff in Lucknow behaving rudely toward patients.,illness
Hospital staff in Hyderabad behaving rudely toward patients.,illness
Hospital staff in Madurai behaving rudely toward patients.,illness
Hospital staff in Madurai behaving rudely toward patients.,illness
Hospital staff in Patna behaving rudely toward patients.,illness
Hospital staff in Nagpur behaving rudely toward patients.,illness
Hospital staff in Nagpur behaving rudely toward patients.,illness
Hospital staff in Mysuru behaving rudely toward patients.,illness
Hospital staff in Mysuru behaving rudely toward patients.,illness
Hospital staff in Mysuru behaving rudely toward patients.,illness
Hospital staff in Mysuru behaving rudely toward patients.,illness
Hospital staff in Mumbai behaving rudely toward patients.,illness
Hospital staff in Mumbai behaving rudely toward patients.,illness
Hospital staff in Mumbai behaving rudely toward patients.,illness
Hospital staff in Mumbai behaving rudely toward patients.,illness
Hospital staff in Mangalore behaving rudely toward patients.,illness
Hospital staff in Mangalore behaving rudely toward patients.,illness
Hospital staff in Madurai behaving rudely toward patients.,illness
Hospital staff in Madurai behaving rudely toward patients.,illness
Hospital staff in Madurai behaving rudely toward patients.,illness
Hospital staff in Hyderabad behaving rudely toward patients.,illness
Hospital staff in Hyderabad behaving rudely toward patients.,illness
Hospital staff in Guwahati behaving rudely toward patients.,illness
Hospital pharmacy out of stock of essential medicines in Thiruvananthapuram.,illness
Hospital pharmacy out of stock of essential medicines in Pune.,illness
Hospital pharmacy out of stock of essential medicines in Madurai.,illness
Hospital pharmacy out of stock of essential medicines in Kolkata.,illness
Hospital pharmacy out of stock of essential medicines in Jaipur.,illness
Hospital pharmacy out of stock of essential medicines in Delhi.,illness
Hospital pharmacy out of stock of essential medicines in Coimbatore.,illness
Hospital pharmacy out of stock of essential medicines in Chennai.,illness
Hospital pharmacy out of stock of essential medicines in Chennai.,illness
Hospital pharmacy out of stock of essential medicines in Bhopal.,illness
Hospital pharmacy out of stock of essential medicines in Bhopal.,illness
Hospital pharmacy out of stock of essential medicines in Bengaluru.,illness
Hospital pharmacy out of stock of essential medicines in Bengaluru.,illness
"High number of respiratory problems due to pollution near outside the school, Coimbatore.",illness
"High number of respiratory problems due to pollution near on the main road, Visakhapatnam.",illness
Hospital pharmacy out of stock of essential medicines in Trichy.,illness
Hospital pharmacy out of stock of essential medicines in Vellore.,illness
Hospital pharmacy out of stock of essential medicines in Vellore.,illness
Hospital pharmacy out of stock of essential medicines in Vellore.,illness
Hospital staff in Guwahati behaving rudely toward patients.,illness
Hospital staff in Delhi behaving rudely toward patients.,illness
Hospital staff in Delhi behaving rudely toward patients.,illness
Hospital staff in Delhi behaving rudely toward patients.,illness
Hospital staff in Coimbatore behaving rudely toward patients.,illness
Hospital staff in Coimbatore behaving rudely toward patients.,illness
Hospital staff in Coimbatore behaving rudely toward patients.,illness
"High number of respiratory problems due to pollution near on the main road, Kochi.",illness
Hospital staff in Chennai behaving rudely toward patients.,illness
Hospital staff in Chennai behaving rudely toward patients.,illness
Hospital staff in Chennai behaving rudely toward patients.,illness
Hospital staff in Bhopal behaving rudely toward patients.,illness
Hospital staff in Bhopal behaving rudely toward patients.,illness
Hospital staff in Bhopal behaving rudely toward patients.,illness
Hospital staff in Bengaluru behaving rudely toward patients.,illness
Hospital pharmacy out of stock of essential medicines in Visakhapatnam.,illness
Hospital staff in Chennai behaving rudely toward patients.,illness
Food poisoning cases reported after eating at tea stall in Kochi.,illness
"Respiratory issues increasing due to pollution in at the bus stop, Bengaluru.",illness
Food poisoning cases reported after eating at street vendor in Pune.,illness
Child developed rashes after drinking municipal water in by the lake.,illness
Child developed rashes after drinking municipal water in by the lake.,illness
Child developed rashes after drinking municipal water in by the lake.,illness
Child developed rashes after drinking municipal water in beside the park.,illness
Child developed rashes after drinking municipal water in beside the park.,illness
Child developed rashes after drinking municipal water in beside the park.,illness
Child developed rashes after drinking municipal water in beside the park.,illness
Child developed rashes after drinking municipal water in beside the park.,illness
Child developed rashes after drinking municipal water in beside the park.,illness
Child developed rashes after drinking municipal water in behind the apartment.,illness
Child developed rashes after drinking municipal water in by the lake.,illness
Child developed rashes after drinking municipal water in behind the apartment.,illness
Child developed rashes after drinking municipal water in behind the apartment.,illness
Child developed rashes after drinking municipal water in behind the apartment.,illness
Child developed rashes after drinking municipal water in behind the apartment.,illness
Child developed rashes after drinking municipal water in behind the apartment.,illness
Child developed rashes after drinking municipal water in behind the apartment.,illness
Child developed rashes after drinking municipal water in at the bus stop.,illness
Child developed rashes after drinking municipal water in at the bus stop.,illness
Child developed rashes after drinking municipal water in at the bus stop.,illness
Child developed rashes after drinking municipal water in at the bus stop.,illness
Child developed rashes after drinking municipal water in at the bus stop.,illness
Child developed rashes after drinking municipal water in behind the apartment.,illness
Child developed rashes after drinking municipal water in in our colony.,illness
Child developed rashes after drinking municipal water in in our colony.,illness
Child developed rashes after drinking municipal water in in our colony.,illness
Child developed rashes after drinking municipal water in near the temple.,illness
Child developed rashes after drinking municipal water in near the railway station.,illness
Child developed rashes after drinking municipal water in near the railway station.,illness
Child developed rashes after drinking municipal water in near the railway station.,illness
Child developed rashes after drinking municipal water in near the railway station.,illness
Child developed rashes after drinking municipal water in near the railway station.,illness
Child developed rashes after drinking municipal water in near the market.,illness
Child developed rashes after drinking municipal water in near the market.,illness
Child developed rashes after drinking municipal water in near the market.,illness
Child developed rashes after drinking municipal water in near the market.,illness
Child developed rashes after drinking municipal water in near the market.,illness
Child developed rashes after drinking municipal water in near the market.,illness
Child developed rashes after drinking municipal water in near the market.,illness
Child developed rashes after drinking municipal water in near the market.,illness
Child developed rashes after drinking municipal water in inside the hostel.,illness
Child developed rashes after drinking municipal water in inside the hostel.,illness
Child developed rashes after drinking municipal water in inside the hostel.,illness
Child developed rashes after drinking municipal water in inside the hostel.,illness
Child developed rashes after drinking municipal water in in the municipal ward.,illness
Child developed rashes after drinking municipal water in in the municipal ward.,illness
Child developed rashes after drinking municipal water in in the municipal ward.,illness
Child developed rashes after drinking municipal water in in the municipal ward.,illness
Child developed rashes after drinking municipal water in in our colony.,illness
Pregnant woman denied prompt care at at the bus stop health centre.,illness
Pregnant woman denied prompt care at at the bus stop health centre.,illness
Pregnant woman denied prompt care at at the bus stop health centre.,illness
Pregnant woman denied prompt care at at the bus stop health centre.,illness
Pregnant woman denied prompt care at in our colony health centre.,illness
Pregnant woman denied prompt care at in the municipal ward health centre.,illness
Pregnant woman denied prompt care at in the municipal ward health centre.,illness
Pregnant woman denied prompt care at in the municipal ward health centre.,illness
Pregnant woman denied prompt care at in the municipal ward health centre.,illness
Pregnant woman denied prompt care at in the municipal ward health centre.,illness
Pregnant woman denied prompt care at inside the hostel health centre.,illness
Pregnant woman denied prompt care at inside the hostel health centre.,illness
Pregnant woman denied prompt care at inside the hostel health centre.,illness
Pregnant woman denied prompt care at inside the hostel health centre.,illness
Pregnant woman denied prompt care at inside the hostel health centre.,illness
Pregnant woman denied prompt care at inside the hostel health centre.,illness
Pregnant woman denied prompt care at near the market health centre.,illness
Pregnant woman denied prompt care at near the market health centre.,illness
Pregnant woman denied prompt care at near the market health centre.,illness
Pregnant woman denied prompt care at near the market health centre.,illness
Pregnant woman denied prompt care at near the railway station health centre.,illness
Pregnant woman denied prompt care at near the temple health centre.,illness
Pregnant woman denied prompt care at near the temple health centre.,illness
Pregnant woman denied prompt care at near the temple health centre.,illness
Pregnant woman denied prompt care at next to the metro station health centre.,illness
Pregnant woman denied prompt care at next to the metro station health centre.,illness
Pregnant woman denied prompt care at next to the metro station health centre.,illness
Pregnant woman denied prompt care at in our colony health centre.,illness
Child developed rashes after drinking municipal water in near the temple.,illness
Pregnant woman denied prompt care at in our colony health centre.,illness
Pregnant woman denied prompt care at in our colony health centre.,illness
Pregnant woman denied prompt care at at the bus stop health centre.,illness
Pregnant woman denied prompt care at behind the apartment health centre.,illness
Pregnant woman denied prompt care at behind the apartment health centre.,illness
Pregnant woman denied prompt care at behind the apartment health centre.,illness
Pregnant woman denied prompt care at behind the apartment health centre.,illness
Pregnant woman denied prompt care at beside the park health centre.,illness
Pregnant woman denied prompt care at beside the park health centre.,illness
Pregnant woman denied prompt care at beside the park health centre.,illness
Pregnant woman denied prompt care at beside the park health centre.,illness
Pregnant woman denied prompt care at beside the park health centre.,illness
Pregnant woman denied prompt care at beside the park health centre.,illness
Pregnant woman denied prompt care at beside the park health centre.,illness
Pregnant woman denied prompt care at beside the park health centre.,illness
Pregnant woman denied prompt care at by the lake health centre.,illness
Pregnant woman denied prompt care at by the lake health centre.,illness
Pregnant woman denied prompt care at by the lake health centre.,illness
Pregnant woman denied prompt care at by the lake health centre.,illness
Pregnant woman denied prompt care at by the lake health centre.,illness
Pregnant woman denied prompt care at by the lake health centre.,illness
Pregnant woman denied prompt care at by the lake health centre.,illness
Pregnant woman denied prompt care at by the lake health centre.,illness
Pregnant woman denied prompt care at by the lake health centre.,illness
Pregnant woman denied prompt care at in our colony health centre.,illness
Pregnant woman denied prompt care at in our colony health centre.,illness
Pregnant woman denied prompt care at next to the metro station health centre.,illness
Child developed rashes after drinking municipal water in near the temple.,illness
Child developed rashes after drinking municipal water in near the temple.,illness
"Several residents suffering from fever in by the lake, Kolkata.",illness
"Several residents suffering from fever in by the lake, Jaipur.",illness
"Several residents suffering from fever in beside the park, Vellore.",illness
"Several residents suffering from fever in beside the park, Coimbatore.",illness
"Several residents suffering from fever in beside the park, Bhopal.",illness
"Several residents suffering from fever in behind the apartment, Vellore.",illness
"Several residents suffering from fever in behind the apartment, Trichy.",illness
"Several residents suffering from fever in behind the apartment, Trichy.",illness
"Several residents suffering from fever in behind the apartment, Thiruvananthapuram.",illness
"Several residents suffering from fever in behind the apartment, Mangalore.",illness
"Several residents suffering from fever in by the lake, Kolkata.",illness
"Several residents suffering from fever in behind the apartment, Kolkata.",illness
"Several residents suffering from fever in behind the apartment, Indore.",illness
"Several residents suffering from fever in behind the apartment, Guwahati.",illness
"Several residents suffering from fever in behind the apartment, Delhi.",illness
"Several residents suffering from fever in behind the apartment, Coimbatore.",illness
"Several residents suffering from fever in at the bus stop, Thiruvananthapuram.",illness
"Several residents suffering from fever in at the bus stop, Pune.",illness
"Several residents suffering from fever in at the bus stop, Patna.",illness
"Several residents suffering from fever in at the bus stop, Patna.",illness
"Several residents suffering from fever in at the bus stop, Mumbai.",illness
"Several residents suffering from fever in at the bus stop, Mangalore.",illness
"Several residents suffering from fever in behind the apartment, Kochi.",illness
"Several residents suffering from fever in by the lake, Trichy.",illness
"Several residents suffering from fever in in our colony, Delhi.",illness
"Several residents suffering from fever in in our colony, Delhi.",illness
"Several residents suffering from fever in near the railway station, Lucknow.",illness
"Several residents suffering from fever in near the railway station, Bhopal.",illness
"Several residents suffering from fever in near the market, Vellore.",illness
"Several residents suffering from fever in near the market, Mangalore.",illness
"Several residents suffering from fever in near the market, Guwahati.",illness
"Several residents suffering from fever in inside the hostel, Visakhapatnam.",illness
"Several residents suffering from fever in inside the hostel, Thiruvananthapuram.",illness
"Several residents suffering from fever in inside the hostel, Surat.",illness
"Several residents suffering from fever in inside the hostel, Madurai.",illness
"Several residents suffering from fever in in the municipal ward, Trichy.",illness
"Several residents suffering from fever in in the municipal ward, Thiruvananthapuram.",illness
"Several residents suffering from fever in in the municipal ward, Nagpur.",illness
"Several residents suffering from fever in in the municipal ward, Madurai.",illness
"Several residents suffering from fever in in the municipal ward, Jaipur.",illness
"Several residents suffering from fever in in the municipal ward, Coimbatore.",illness
"Several residents suffering from fever in in the municipal ward, Chennai.",illness
"Several residents suffering from fever in in the municipal ward, Chennai.",illness
"Several residents suffering from fever in in our colony, Vellore.",illness
"Several residents suffering from fever in in our colony, Thiruvananthapuram.",illness
Food poisoning cases reported after eating at street vendor in Thiruvananthapuram.,illness
"Several residents suffering from fever in in our colony, Mysuru.",illness
"Several residents suffering from fever in in our colony, Jaipur.",illness
"Several residents suffering from fever in in our colony, Jaipur.",illness
"Several residents suffering from fever in at the bus stop, Madurai.",illness
"Several residents suffering from fever in at the bus stop, Bhopal.",illness
"Several residents have fever and vomiting in on the main road, Kochi; request medical camp.",illness
"Several residents have fever and vomiting in on the main road, Jaipur; request medical camp.",illness
Clinic staff at the government hospital were rude and unhelpful in Delhi.,illness
Clinic staff at the government hospital were rude and unhelpful in Coimbatore.,illness
Clinic staff at the government hospital were rude and unhelpful in Bengaluru.,illness
Clinic staff at the government hospital were rude and unhelpful in Bengaluru.,illness
Child vomiting continuously after eating hostel food.,illness
Child fell sick due to dirty surroundings near the house.,illness
Child developed rashes after drinking municipal water in outside the school.,illness
Child developed rashes after drinking municipal water in outside the school.,illness
Child developed rashes after drinking municipal water in opposite the hospital.,illness
Child developed rashes after drinking municipal water in opposite the hospital.,illness
Child developed rashes after drinking municipal water in opposite the hospital.,illness
Child developed rashes after drinking municipal water in opposite the hospital.,illness
Child developed rashes after drinking municipal water in opposite the hospital.,illness
Child developed rashes after drinking municipal water in opposite the hospital.,illness
Child developed rashes after drinking municipal water in opposite the hospital.,illness
Child developed rashes after drinking municipal water in on the main road.,illness
Child developed rashes after drinking municipal water in on the main road.,illness
Child developed rashes after drinking municipal water in on the main road.,illness
Child developed rashes after drinking municipal water in next to the metro station.,illness
Child developed rashes after drinking municipal water in next to the metro station.,illness
Child developed rashes after drinking municipal water in next to the metro station.,illness
Child developed rashes after drinking municipal water in near the temple.,illness
Child developed rashes after drinking municipal water in near the temple.,illness
Clinic staff at the government hospital were rude and unhelpful in Hyderabad.,illness
Child developed rashes after drinking municipal water in near the temple.,illness
Clinic staff at the government hospital were rude and unhelpful in Jaipur.,illness
Clinic staff at the government hospital were rude and unhelpful in Madurai.,illness
"Several residents have fever and vomiting in on the main road, Chennai; request medical camp.",illness
"Several residents have fever and vomiting in near the temple, Visakhapatnam; request medical camp.",illness
"Several residents have fever and vomiting in near the temple, Vellore; request medical camp.",illness
"Several residents have fever and vomiting in near the temple, Bengaluru; request medical camp.",illness
"Several residents have fever and vomiting in near the market, Nagpur; request medical camp.",illness
"Several residents have fever and vomiting in near the market, Madurai; request medical camp.",illness
"Several residents have fever and vomiting in near the market, Guwahati; request medical camp.",illness
"Several residents have fever and vomiting in inside the hostel, Thiruvananthapuram; request medical camp.",illness
"Several residents have fever and vomiting in inside the hostel, Jaipur; request medical camp.",illness
"Several residents have fever and vomiting in inside the hostel, Chennai; request medical camp.",illness
"Several residents have fever and vomiting in in the municipal ward, Kolkata; request medical camp.",illness
"Several residents have fever and vomiting in in our colony, Jaipur; request medical camp.",illness
"Several residents have fever and vomiting in in our colony, Hyderabad; request medical camp.",illness
"Several residents have fever and vomiting in in our colony, Bhopal; request medical camp.",illness
"Several residents have fever and vomiting in in our colony, Bhopal; request medical camp.",illness
"Several residents have fever and vomiting in by the lake, Kochi; request medical camp.",illness
"Several residents have fever and vomiting in by the lake, Delhi; request medical camp.",illness
"Several residents have fever and vomiting in beside the park, Pune; request medical camp.",illness
Clinic staff at the government hospital were rude and unhelpful in Trichy.,illness
Clinic staff at the government hospital were rude and unhelpful in Pune.,illness
Clinic staff at the government hospital were rude and unhelpful in Mumbai.,illness
Clinic staff at the government hospital were rude and unhelpful in Mumbai.,illness
Clinic staff at the government hospital were rude and unhelpful in Madurai.,illness
Clinic staff at the government hospital were rude and unhelpful in Lucknow.,illness
"Several residents suffering from fever in near the temple, Delhi.",illness
Pregnant woman denied prompt care at next to the metro station health centre.,illness
Pregnant woman denied prompt care at on the main road health centre.,illness
"Ambulance delays causing panic in in the municipal ward, Bhopal.",illness
"Ambulance delays causing panic in in our colony, Visakhapatnam.",illness
"Ambulance delays causing panic in in our colony, Thiruvananthapuram.",illness
"Ambulance delays causing panic in in our colony, Pune.",illness
"Ambulance delays causing panic in in our colony, Pune.",illness
"Ambulance delays causing panic in in our colony, Mumbai.",illness
"Ambulance delays causing panic in in our colony, Mangalore.",illness
"Ambulance delays causing panic in in our colony, Lucknow.",illness
"Ambulance delays causing panic in in our colony, Indore.",illness
"Ambulance delays causing panic in in our colony, Bhopal.",illness
"Ambulance delays causing panic in in the municipal ward, Chennai.",illness
"Ambulance delays causing panic in by the lake, Vellore.",illness
"Ambulance delays causing panic in by the lake, Mangalore.",illness
"Ambulance delays causing panic in by the lake, Madurai.",illness
"Ambulance delays causing panic in by the lake, Guwahati.",illness
"Ambulance delays causing panic in beside the park, Nagpur.",illness
"Ambulance delays causing panic in beside the park, Mumbai.",illness
"Ambulance delays causing panic in beside the park, Mumbai.",illness
"Ambulance delays causing panic in behind the apartment, Visakhapatnam.",illness
"Ambulance delays causing panic in behind the apartment, Thiruvananthapuram.",illness
"Ambulance delays causing panic in behind the apartment, Surat.",illness
"Ambulance delays causing panic in behind the apartment, Pune.",illness
"Ambulance delays causing panic in by the lake, Trichy.",illness
"Ambulance delays causing panic in in the municipal ward, Mysuru.",illness
"Ambulance delays causing panic in in the municipal ward, Pune.",illness
"Ambulance delays causing panic in inside the hostel, Bengaluru.",illness
"Ambulance delays causing panic in next to the metro station, Kochi.",illness
"Ambulance delays causing panic in near the temple, Nagpur.",illness
"Ambulance delays causing panic in near the temple, Mysuru.",illness
"Ambulance delays causing panic in near the temple, Hyderabad.",illness
"Ambulance delays causing panic in near the temple, Guwahati.",illness
"Ambulance delays causing panic in near the railway station, Vellore.",illness
"Ambulance delays causing panic in near the railway station, Mysuru.",illness
"Ambulance delays causing panic in near the railway station, Mumbai.",illness
"Ambulance delays causing panic in near the railway station, Indore.",illness
"Ambulance delays causing panic in near the railway station, Hyderabad.",illness
"Ambulance delays causing panic in near the railway station, Hyderabad.",illness
"Ambulance delays causing panic in near the railway station, Chennai.",illness
"Ambulance delays causing panic in near the railway station, Bhopal.",illness
"Ambulance delays causing panic in near the market, Mysuru.",illness
"Ambulance delays causing panic in near the market, Mumbai.",illness
"Ambulance delays causing panic in near the market, Mangalore.",illness
"Ambulance delays causing panic in inside the hostel, Surat.",illness
"Ambulance delays causing panic in inside the hostel, Mysuru.",illness
"Ambulance delays causing panic in inside the hostel, Mumbai.",illness
"Ambulance delays causing panic in inside the hostel, Kolkata.",illness
"Ambulance delays causing panic in inside the hostel, Jaipur.",illness
"Ambulance delays causing panic in inside the hostel, Jaipur.",illness
"Ambulance delays causing panic in inside the hostel, Delhi.",illness
"Ambulance delays causing panic in behind the apartment, Jaipur.",illness
"Ambulance delays causing panic in behind the apartment, Guwahati.",illness
"Ambulance delays causing panic in behind the apartment, Guwahati.",illness
"Ambulance delays causing panic in behind the apartment, Coimbatore.",illness
"Respiratory issues increasing due to pollution in by the lake, Mysuru.",illness
"Respiratory issues increasing due to pollution in by the lake, Kolkata.",illness
"Respiratory issues increasing due to pollution in by the lake, Kolkata.",illness
"Respiratory issues increasing due to pollution in by the lake, Indore.",illness
"Respiratory issues increasing due to pollution in by the lake, Hyderabad.",illness
"Respiratory issues increasing due to pollution in by the lake, Guwahati.",illness
"Respiratory issues increasing due to pollution in by the lake, Bengaluru.",illness
"Respiratory issues increasing due to pollution in beside the park, Trichy.",illness
"Respiratory issues increasing due to pollution in beside the park, Thiruvananthapuram.",illness
"Respiratory issues increasing due to pollution in beside the park, Mumbai.",illness
"Respiratory issues increasing due to pollution in beside the park, Madurai.",illness
"Respiratory issues increasing due to pollution in beside the park, Jaipur.",illness
"Respiratory issues increasing due to pollution in beside the park, Delhi.",illness
"Respiratory issues increasing due to pollution in beside the park, Bengaluru.",illness
"Respiratory issues increasing due to pollution in behind the apartment, Trichy.",illness
"Respiratory issues increasing due to pollution in behind the apartment, Thiruvananthapuram.",illness
"Respiratory issues increasing due to pollution in behind the apartment, Thiruvananthapuram.",illness
"Respiratory issues increasing due to pollution in behind the apartment, Patna.",illness
"Respiratory issues increasing due to pollution in behind the apartment, Mumbai.",illness
"Respiratory issues increasing due to pollution in behind the apartment, Kochi.",illness
"Respiratory issues increasing due to pollution in at the bus stop, Vellore.",illness
"Respiratory issues increasing due to pollution in at the bus stop, Nagpur.",illness
"Respiratory issues increasing due to pollution in at the bus stop, Lucknow.",illness
"Respiratory issues increasing due to pollution in by the lake, Mysuru.",illness
"Ambulance delays causing panic in next to the metro station, Mangalore.",illness
"Respiratory issues increasing due to pollution in by the lake, Trichy.",illness
"Respiratory issues increasing due to pollution in in our colony, Jaipur.",illness
"Ambulance delays causing panic in behind the apartment, Bengaluru.",illness
"Ambulance delays causing panic in at the bus stop, Visakhapatnam.",illness
"Ambulance delays causing panic in at the bus stop, Vellore.",illness
"Ambulance delays causing panic in at the bus stop, Pune.",illness
"Ambulance delays causing panic in at the bus stop, Kochi.",illness
"Ambulance delays causing panic in at the bus stop, Jaipur.",illness
"Respiratory issues increasing due to pollution in inside the hostel, Trichy.",illness
"Respiratory issues increasing due to pollution in inside the hostel, Madurai.",illness
"Respiratory issues increasing due to pollution in inside the hostel, Bhopal.",illness
"Respiratory issues increasing due to pollution in in the municipal ward, Trichy.",illness
"Respiratory issues increasing due to pollution in in the municipal ward, Trichy.",illness
"Respiratory issues increasing due to pollution in in the municipal ward, Pune.",illness
"Respiratory issues increasing due to pollution in in the municipal ward, Mumbai.",illness
"Respiratory issues increasing due to pollution in in the municipal ward, Hyderabad.",illness
"Respiratory issues increasing due to pollution in in the municipal ward, Coimbatore.",illness
"Respiratory issues increasing due to pollution in in our colony, Visakhapatnam.",illness
"Respiratory issues increasing due to pollution in in our colony, Vellore.",illness
"Respiratory issues increasing due to pollution in in our colony, Vellore.",illness
"Respiratory issues increasing due to pollution in in our colony, Thiruvananthapuram.",illness
"Respiratory issues increasing due to pollution in in our colony, Surat.",illness
"Respiratory issues increasing due to pollution in in our colony, Pune.",illness
"Respiratory issues increasing due to pollution in in our colony, Pune.",illness
"Respiratory issues increasing due to pollution in in our colony, Mangalore.",illness
"Respiratory issues increasing due to pollution in in our colony, Chennai.",illness
Pregnant woman denied prompt care at on the main road health centre.,illness
"Ambulance delays causing panic in next to the metro station, Mysuru.",illness
"Ambulance delays causing panic in next to the metro station, Visakhapatnam.",illness
"Pregnant woman denied timely care at the local health centre in in the municipal ward, Nagpur.",illness
"Pregnant woman denied timely care at the local health centre in in the municipal ward, Patna.",illness
"Pregnant woman denied timely care at the local health centre in in the municipal ward, Thiruvananthapuram.",illness
"Pregnant woman denied timely care at the local health centre in inside the hostel, Bengaluru.",illness
"Pregnant woman denied timely care at the local health centre in inside the hostel, Jaipur.",illness
"Pregnant woman denied timely care at the local health centre in inside the hostel, Madurai.",illness
"Pregnant woman denied timely care at the local health centre in inside the hostel, Madurai.",illness
