,complaint,category,emotion,department
452,"Busy junction at in the municipal ward, Chennai lacks pedestrian crossing.",safety,neutral,Police
453,"Busy junction at in the municipal ward, Chennai lacks pedestrian crossing.",safety,sadness,Police
454,"Busy junction at in the municipal ward, Mysuru lacks pedestrian crossing.",safety,neutral,Police
455,"Busy junction at in the municipal ward, Nagpur lacks pedestrian crossing.",safety,urgency,Police
456,"Busy junction at in the municipal ward, Patna lacks pedestrian crossing.",safety,disgust,Police
457,"Busy junction at inside the hostel, Bengaluru lacks pedestrian crossing.",safety,neutral,Police
458,"Busy junction at inside the hostel, Coimbatore lacks pedestrian crossing.",safety,disgust,Police
459,"Busy junction at inside the hostel, Hyderabad lacks pedestrian crossing.",safety,neutral,Police
460,"Busy junction at inside the hostel, Mysuru lacks pedestrian crossing.",safety,disgust,Police
461,"Busy junction at near the market, Jaipur lacks pedestrian crossing.",safety,anger,Police
462,"Busy junction at near the market, Jaipur lacks pedestrian crossing.",safety,neutral,Police
463,"Busy junction at near the market, Madurai lacks pedestrian crossing.",safety,frustration,Police
464,"Busy junction at near the market, Patna lacks pedestrian crossing.",safety,disgust,Police
465,"Busy junction at near the railway station, Chennai lacks pedestrian crossing.",safety,anger,Police
466,"Busy junction at near the railway station, Pune lacks pedestrian crossing.",safety,neutral,Police
467,"Busy junction at near the temple, Bhopal lacks pedestrian crossing.",safety,sadness,Police
468,"Busy junction at near the temple, Hyderabad lacks pedestrian crossing.",safety,sadness,Police
469,"Busy junction at near the temple, Kochi lacks pedestrian crossing.",safety,frustration,Police
470,"Busy junction at near the temple, Kolkata lacks pedestrian crossing.",safety,worry,Police
471,"Busy junction at near the temple, Vellore lacks pedestrian crossing.",safety,urgency,Police
472,"Busy junction at near the temple, Visakhapatnam lacks pedestrian crossing.",safety,sadness,Police
473,"Busy junction at next to the metro station, Bengaluru lacks pedestrian crossing.",safety,anger,Police
474,"Busy junction at next to the metro station, Bhopal lacks pedestrian crossing.",safety,frustration,Police
475,"Busy junction at next to the metro station, Bhopal lacks pedestrian crossing.",safety,frustration,Police
476,"Busy junction at next to the metro station, Guwahati lacks pedestrian crossing.",safety,anger,Police
477,"Busy junction at next to the metro station, Jaipur lacks pedestrian crossing.",safety,disgust,Police
478,"Busy junction at next to the metro station, Mumbai lacks pedestrian crossing.",safety,neutral,Police
479,"Busy junction at next to the metro station, Patna lacks pedestrian crossing.",safety,worry,Police
480,"Busy junction at next to the metro station, Surat lacks pedestrian crossing.",safety,frustration,Police
481,"Busy junction at next to the metro station, Vellore lacks pedestrian crossing.",safety,urgency,Police
482,"Busy junction at on the main road, Kolkata lacks pedestrian crossing.",safety,frustration,Police
483,"Busy junction at on the main road, Kolkata lacks pedestrian crossing.",safety,sadness,Police
484,"Busy junction at on the main road, Lucknow lacks pedestrian crossing.",safety,urgency,Police
485,"Busy junction at on the main road, Mysuru lacks pedestrian crossing.",safety,anger,Police
486,"Busy junction at on the main road, Mysuru lacks pedestrian crossing.",safety,anger,Police
487,"Busy junction at on the main road, Surat lacks pedestrian crossing.",safety,sadness,Police
488,"Busy junction at opposite the hospital, Chennai lacks pedestrian crossing.",safety,disgust,Police
489,"Busy junction at opposite the hospital, Mumbai lacks pedestrian crossing.",safety,frustration,Police
490,"Busy junction at opposite the hospital, Patna lacks pedestrian crossing.",safety,frustration,Police
491,"Busy junction at opposite the hospital, Thiruvananthapuram lacks pedestrian crossing.",safety,neutral,Police
492,"Busy junction at outside the school, Bhopal lacks pedestrian crossing.",safety,disgust,Police
493,"Busy junction at outside the school, Delhi lacks pedestrian crossing.",safety,frustration,Police
494,"Busy junction at outside the school, Kolkata lacks pedestrian crossing.",safety,concern,Police
495,"Busy junction at outside the school, Mangalore lacks pedestrian crossing.",safety,disgust,Police
496,"Busy junction at outside the school, Patna lacks pedestrian crossing.",safety,anger,Police
497,"Busy junction at outside the school, Surat lacks pedestrian crossing.",safety,sadness,Police
498,"Busy junction at outside the school, Trichy lacks pedestrian crossing.",safety,frustration,Police
499,Child developed rashes after drinking municipal water in at the bus stop.,illness,concern,Health Dept.
500,Child developed rashes after drinking municipal water in at the bus stop.,illness,disgust,Health Dept.
501,Child developed rashes after drinking municipal water in at the bus stop.,illness,disgust,Health Dept.
502,Child developed rashes after drinking municipal water in at the bus stop.,illness,frustration,Health Dept.
503,Child developed rashes after drinking municipal water in at the bus stop.,illness,sadness,Health Dept.
504,Child developed rashes after drinking municipal water in behind the apartment.,illness,anger,Health Dept.
505,Child developed rashes after drinking municipal water in behind the apartment.,illness,concern,Health Dept.
506,Child developed rashes after drinking municipal water in behind the apartment.,illness,disgust,Health Dept.
507,Child developed rashes after drinking municipal water in behind the apartment.,illness,disgust,Health Dept.
508,Child developed rashes after drinking municipal water in behind the apartment.,illness,frustration,Health Dept.
509,Child developed rashes after drinking municipal water in behind the apartment.,illness,sadness,Health Dept.
510,Child developed rashes after drinking municipal water in behind the apartment.,illness,worry,Health Dept.
511,Child developed rashes after drinking municipal water in behind the apartment.,illness,worry,Health Dept.
512,Child developed rashes after drinking municipal water in beside the park.,illness,anger,Health Dept.
513,Child developed rashes after drinking municipal water in beside the park.,illness,disgust,Health Dept.
514,Child developed rashes after drinking municipal water in beside the park.,illness,sadness,Health Dept.
515,Child developed rashes after drinking municipal water in beside the park.,illness,urgency,Health Dept.
516,Child developed rashes after drinking municipal water in beside the park.,illness,worry,Health Dept.
517,Child developed rashes after drinking municipal water in beside the park.,illness,worry,Health Dept.
518,Child developed rashes after drinking municipal water in by the lake.,illness,anger,Health Dept.
519,Child developed rashes after drinking municipal water in by the lake.,illness,concern,Health Dept.
520,Child developed rashes after drinking municipal water in by the lake.,illness,disgust,Health Dept.
521,Child developed rashes after drinking municipal water in by the lake.,illness,urgency,Health Dept.
522,Child developed rashes after drinking municipal water in in our colony.,illness,disgust,Health Dept.
523,Child developed rashes after drinking municipal water in in our colony.,illness,frustration,Health Dept.
524,Child developed rashes after drinking municipal water in in our colony.,illness,neutral,Health Dept.
525,Child developed rashes after drinking municipal water in in our colony.,illness,neutral,Health Dept.
526,Child developed rashes after drinking municipal water in in the municipal ward.,illness,frustration,Health Dept.
527,Child developed rashes after drinking municipal water in in the municipal ward.,illness,urgency,Health Dept.
528,Child developed rashes after drinking municipal water in in the municipal ward.,illness,urgency,Health Dept.
529,Child developed rashes after drinking municipal water in in the municipal ward.,illness,urgency,Health Dept.
530,Child developed rashes after drinking municipal water in inside the hostel.,illness,concern,Health Dept.
531,Child developed rashes after drinking municipal water in inside the hostel.,illness,concern,Health Dept.
532,Child developed rashes after drinking municipal water in inside the hostel.,illness,frustration,Health Dept.
533,Child developed rashes after drinking municipal water in inside the hostel.,illness,urgency,Health Dept.
534,Child developed rashes after drinking municipal water in near the market.,illness,anger,Health Dept.
535,Child developed rashes after drinking municipal water in near the market.,illness,concern,Health Dept.
536,Child developed rashes after drinking municipal water in near the market.,illness,disgust,Health Dept.
537,Child developed rashes after drinking municipal water in near the market.,illness,disgust,Health Dept.
538,Child developed rashes after drinking municipal water in near the market.,illness,frustration,Health Dept.
539,Child developed rashes after drinking municipal water in near the market.,illness,frustration,Health Dept.
540,Child developed rashes after drinking municipal water in near the market.,illness,urgency,Health Dept.
541,Child developed rashes after drinking municipal water in near the market.,illness,worry,Health Dept.
542,Child developed rashes after drinking municipal water in near the railway station.,illness,anger,Health Dept.
543,Child developed rashes after drinking municipal water in near the railway station.,illness,concern,Health Dept.
544,Child developed rashes after drinking municipal water in near the railway station.,illness,neutral,Health Dept.
545,Child developed rashes after drinking municipal water in near the railway station.,illness,neutral,Health Dept.
546,Child developed rashes after drinking municipal water in near the railway station.,illness,worry,Health Dept.
547,Child developed rashes after drinking municipal water in near the temple.,illness,concern,Health Dept.
548,Child developed rashes after drinking municipal water in near the temple.,illness,disgust,Health Dept.
549,Child developed rashes after drinking municipal water in near the temple.,illness,disgust,Health Dept.
550,Child developed rashes after drinking municipal water in near the temple.,illness,frustration,Health Dept.
551,Child developed rashes after drinking municipal water in near the temple.,illness,sadness,Health Dept.
552,Child developed rashes after drinking municipal water in near the temple.,illness,sadness,Health Dept.
553,Child developed rashes after drinking municipal water in near the temple.,illness,worry,Health Dept.
554,Child developed rashes after drinking municipal water in next to the metro station.,illness,anger,Health Dept.
555,Child developed rashes after drinking municipal water in next to the metro station.,illness,disgust,Health Dept.
556,Child developed rashes after drinking municipal water in next to the metro station.,illness,worry,Health Dept.
557,Child developed rashes after drinking municipal water in on the main road.,illness,disgust,Health Dept.
558,Child developed rashes after drinking municipal water in on the main road.,illness,sadness,Health Dept.
559,Child developed rashes after drinking municipal water in on the main road.,illness,sadness,Health Dept.
560,Child developed rashes after drinking municipal water in opposite the hospital.,illness,anger,Health Dept.
561,Child developed rashes after drinking municipal water in opposite the hospital.,illness,concern,Health Dept.
562,Child developed rashes after drinking municipal water in opposite the hospital.,illness,disgust,Health Dept.
563,Child developed rashes after drinking municipal water in opposite the hospital.,illness,sadness,Health Dept.
564,Child developed rashes after drinking municipal water in opposite the hospital.,illness,sadness,Health Dept.
565,Child developed rashes after drinking municipal water in opposite the hospital.,illness,urgency,Health Dept.
566,Child developed rashes after drinking municipal water in opposite the hospital.,illness,urgency,Health Dept.
567,Child developed rashes after drinking municipal water in outside the school.,illness,disgust,Health Dept.
568,Child developed rashes after drinking municipal water in outside the school.,illness,frustration,Health Dept.
569,Child fell sick due to dirty surroundings near the house.,illness,concern,Health Dept.
570,Child vomiting continuously after eating hostel food.,illness,worry,Health Dept.
571,Children fell sick after eating mid-day meal at school in Bengaluru.,food,concern,Food Safety Dept.
572,Children fell sick after eating mid-day meal at school in Bengaluru.,food,sadness,Food Safety Dept.
573,Children fell sick after eating mid-day meal at school in Bhopal.,food,concern,Food Safety Dept.
574,Children fell sick after eating mid-day meal at school in Guwahati.,food,frustration,Food Safety Dept.
575,Children fell sick after eating mid-day meal at school in Kochi.,food,neutral,Food Safety Dept.
576,Children fell sick after eating mid-day meal at school in Kochi.,food,neutral,Food Safety Dept.
577,Children fell sick after eating mid-day meal at school in Kochi.,food,sadness,Food Safety Dept.
578,Children fell sick after eating mid-day meal at school in Kochi.,food,urgency,Food Safety Dept.
579,Children fell sick after eating mid-day meal at school in Lucknow.,food,concern,Food Safety Dept.
580,Children fell sick after eating mid-day meal at school in Lucknow.,food,frustration,Food Safety Dept.
581,Children fell sick after eating mid-day meal at school in Mumbai.,food,concern,Food Safety Dept.
582,Children fell sick after eating mid-day meal at school in Patna.,food,anger,Food Safety Dept.
583,Children fell sick after eating mid-day meal at school in Patna.,food,neutral,Food Safety Dept.
584,Children fell sick after eating mid-day meal at school in Thiruvananthapuram.,food,concern,Food Safety Dept.
585,Children fell sick after eating mid-day meal at school in Thiruvananthapuram.,food,urgency,Food Safety Dept.
586,Children fell sick after eating mid-day meal at school in Trichy.,food,neutral,Food Safety Dept.
587,Children fell sick after eating mid-day meal at school in Trichy.,food,neutral,Food Safety Dept.
588,Children fell sick after eating mid-day meal at school in Vellore.,food,disgust,Food Safety Dept.
589,Children fell sick after eating mid-day meal at school in Vellore.,food,urgency,Food Safety Dept.
590,Children fell sick after eating mid-day meal at school in Vellore.,food,urgency,Food Safety Dept.
591,Children fell sick after eating mid-day meal at school in Visakhapatnam.,food,concern,Food Safety Dept.
592,Children fell sick after eating mid-day meal at school in Visakhapatnam.,food,frustration,Food Safety Dept.
593,Clinic staff at the government hospital were rude and unhelpful in Bengaluru.,illness,frustration,Health Dept.
594,Clinic staff at the government hospital were rude and unhelpful in Bengaluru.,illness,sadness,Health Dept.
595,Clinic staff at the government hospital were rude and unhelpful in Coimbatore.,illness,anger,Health Dept.
596,Clinic staff at the government hospital were rude and unhelpful in Delhi.,illness,sadness,Health Dept.
597,Clinic staff at the government hospital were rude and unhelpful in Hyderabad.,illness,disgust,Health Dept.
598,Clinic staff at the government hospital were rude and unhelpful in Jaipur.,illness,neutral,Health Dept.
599,Clinic staff at the government hospital were rude and unhelpful in Lucknow.,illness,neutral,Health Dept.
600,Clinic staff at the government hospital were rude and unhelpful in Madurai.,illness,disgust,Health Dept.
601,Clinic staff at the government hospital were rude and unhelpful in Madurai.,illness,worry,Health Dept.
602,Clinic staff at the government hospital were rude and unhelpful in Mumbai.,illness,concern,Health Dept.
603,Clinic staff at the government hospital were rude and unhelpful in Mumbai.,illness,disgust,Health Dept.
604,Clinic staff at the government hospital were rude and unhelpful in Pune.,illness,disgust,Health Dept.
605,Clinic staff at the government hospital were rude and unhelpful in Trichy.,illness,sadness,Health Dept.
606,"Construction debris dumped illegally near at the bus stop, obstructing road.",waste,concern,Sanitation Dept.
607,"Construction debris dumped illegally near at the bus stop, obstructing road.",waste,frustration,Sanitation Dept.
608,"Construction debris dumped illegally near at the bus stop, obstructing road.",waste,frustration,Sanitation Dept.
609,"Construction debris dumped illegally near at the bus stop, obstructing road.",waste,frustration,Sanitation Dept.
610,"Construction debris dumped illegally near at the bus stop, obstructing road.",waste,sadness,Sanitation Dept.
611,"Construction debris dumped illegally near at the bus stop, obstructing road.",waste,sadness,Sanitation Dept.
612,"Construction debris dumped illegally near at the bus stop, obstructing road.",waste,worry,Sanitation Dept.
613,"Construction debris dumped illegally near behind the apartment, obstructing road.",waste,anger,Sanitation Dept.
614,"Construction debris dumped illegally near behind the apartment, obstructing road.",waste,neutral,Sanitation Dept.
615,"Construction debris dumped illegally near behind the apartment, obstructing road.",waste,sadness,Sanitation Dept.
616,"Construction debris dumped illegally near behind the apartment, obstructing road.",waste,sadness,Sanitation Dept.
617,"Construction debris dumped illegally near behind the apartment, obstructing road.",waste,worry,Sanitation Dept.
618,"Construction debris dumped illegally near beside the park, obstructing road.",waste,anger,Sanitation Dept.
619,"Construction debris dumped illegally near beside the park, obstructing road.",waste,disgust,Sanitation Dept.
620,"Construction debris dumped illegally near beside the park, obstructing road.",waste,disgust,Sanitation Dept.
621,"Construction debris dumped illegally near beside the park, obstructing road.",waste,frustration,Sanitation Dept.
622,"Construction debris dumped illegally near beside the park, obstructing road.",waste,frustration,Sanitation Dept.
623,"Construction debris dumped illegally near beside the park, obstructing road.",waste,frustration,Sanitation Dept.
624,"Construction debris dumped illegally near beside the park, obstructing road.",waste,frustration,Sanitation Dept.
625,"Construction debris dumped illegally near beside the park, obstructing road.",waste,urgency,Sanitation Dept.
626,"Construction debris dumped illegally near beside the park, obstructing road.",waste,urgency,Sanitation Dept.
627,"Construction debris dumped illegally near by the lake, obstructing road.",waste,concern,Sanitation Dept.
628,"Construction debris dumped illegally near by the lake, obstructing road.",waste,frustration,Sanitation Dept.
629,"Construction debris dumped illegally near by the lake, obstructing road.",waste,frustration,Sanitation Dept.
630,"Construction debris dumped illegally near in our colony, obstructing road.",waste,anger,Sanitation Dept.
631,"Construction debris dumped illegally near in our colony, obstructing road.",waste,disgust,Sanitation Dept.
632,"Construction debris dumped illegally near in our colony, obstructing road.",waste,frustration,Sanitation Dept.
633,"Construction debris dumped illegally near in our colony, obstructing road.",waste,sadness,Sanitation Dept.
634,"Construction debris dumped illegally near in the municipal ward, obstructing road.",waste,anger,Sanitation Dept.
635,"Construction debris dumped illegally near in the municipal ward, obstructing road.",waste,concern,Sanitation Dept.
636,"Construction debris dumped illegally near in the municipal ward, obstructing road.",waste,concern,Sanitation Dept.
637,"Construction debris dumped illegally near in the municipal ward, obstructing road.",waste,disgust,Sanitation Dept.
638,"Construction debris dumped illegally near in the municipal ward, obstructing road.",waste,neutral,Sanitation Dept.
639,"Construction debris dumped illegally near in the municipal ward, obstructing road.",waste,neutral,Sanitation Dept.
640,"Construction debris dumped illegally near in the municipal ward, obstructing road.",waste,neutral,Sanitation Dept.
641,"Construction debris dumped illegally near in the municipal ward, obstructing road.",waste,sadness,Sanitation Dept.
642,"Construction debris dumped illegally near in the municipal ward, obstructing road.",waste,urgency,Sanitation Dept.
643,"Construction debris dumped illegally near in the municipal ward, obstructing road.",waste,worry,Sanitation Dept.
644,"Construction debris dumped illegally near inside the hostel, obstructing road.",waste,anger,Sanitation Dept.
645,"Construction debris dumped illegally near inside the hostel, obstructing road.",waste,anger,Sanitation Dept.
646,"Construction debris dumped illegally near inside the hostel, obstructing road.",waste,disgust,Sanitation Dept.
647,"Construction debris dumped illegally near inside the hostel, obstructing road.",waste,neutral,Sanitation Dept.
648,"Construction debris dumped illegally near inside the hostel, obstructing road.",waste,sadness,Sanitation Dept.
649,"Construction debris dumped illegally near inside the hostel, obstructing road.",waste,sadness,Sanitation Dept.
650,"Construction debris dumped illegally near inside the hostel, obstructing road.",waste,urgency,Sanitation Dept.
651,"Construction debris dumped illegally near inside the hostel, obstructing road.",waste,worry,Sanitation Dept.
652,"Construction debris dumped illegally near near the market, obstructing road.",waste,anger,Sanitation Dept.
653,"Construction debris dumped illegally near near the market, obstructing road.",waste,disgust,Sanitation Dept.
654,"Construction debris dumped illegally near near the market, obstructing road.",waste,neutral,Sanitation Dept.
655,"Construction debris dumped illegally near near the market, obstructing road.",waste,neutral,Sanitation Dept.
656,"Construction debris dumped illegally near near the railway station, obstructing road.",waste,concern,Sanitation Dept.
657,"Construction debris dumped illegally near near the railway station, obstructing road.",waste,concern,Sanitation Dept.
658,"Construction debris dumped illegally near near the railway station, obstructing road.",waste,neutral,Sanitation Dept.
659,"Construction debris dumped illegally near near the railway station, obstructing road.",waste,sadness,Sanitation Dept.
660,"Construction debris dumped illegally near near the temple, obstructing road.",waste,concern,Sanitation Dept.
661,"Construction debris dumped illegally near near the temple, obstructing road.",waste,disgust,Sanitation Dept.
662,"Construction debris dumped illegally near near the temple, obstructing road.",waste,disgust,Sanitation Dept.
663,"Construction debris dumped illegally near near the temple, obstructing road.",waste,frustration,Sanitation Dept.
664,"Construction debris dumped illegally near near the temple, obstructing road.",waste,frustration,Sanitation Dept.
665,"Construction debris dumped illegally near near the temple, obstructing road.",waste,neutral,Sanitation Dept.
666,"Construction debris dumped illegally near near the temple, obstructing road.",waste,urgency,Sanitation Dept.
667,"Construction debris dumped illegally near near the temple, obstructing road.",waste,urgency,Sanitation Dept.
668,"Construction debris dumped illegally near near the temple, obstructing road.",waste,urgency,Sanitation Dept.
669,"Construction debris dumped illegally near near the temple, obstructing road.",waste,worry,Sanitation Dept.
670,"Construction debris dumped illegally near next to the metro station, obstructing road.",waste,anger,Sanitation Dept.
671,"Construction debris dumped illegally near next to the metro station, obstructing road.",waste,concern,Sanitation Dept.
672,"Construction debris dumped illegally near next to the metro station, obstructing road.",waste,disgust,Sanitation Dept.
673,"Construction debris dumped illegally near next to the metro station, obstructing road.",waste,disgust,Sanitation Dept.
674,"Construction debris dumped illegally near next to the metro station, obstructing road.",waste,frustration,Sanitation Dept.
675,"Construction debris dumped illegally near next to the metro station, obstructing road.",waste,worry,Sanitation Dept.
676,"Construction debris dumped illegally near next to the metro station, obstructing road.",waste,worry,Sanitation Dept.
677,"Construction debris dumped illegally near on the main road, obstructing road.",waste,anger,Sanitation Dept.
678,"Construction debris dumped illegally near on the main road, obstructing road.",waste,concern,Sanitation Dept.
679,"Construction debris dumped illegally near on the main road, obstructing road.",waste,disgust,Sanitation Dept.
680,"Construction debris dumped illegally near on the main road, obstructing road.",waste,disgust,Sanitation Dept.
681,"Construction debris dumped illegally near on the main road, obstructing road.",waste,frustration,Sanitation Dept.
682,"Construction debris dumped illegally near on the main road, obstructing road.",waste,neutral,Sanitation Dept.
683,"Construction debris dumped illegally near on the main road, obstructing road.",waste,sadness,Sanitation Dept.
684,"Construction debris dumped illegally near on the main road, obstructing road.",waste,worry,Sanitation Dept.
685,"Construction debris dumped illegally near on the main road, obstructing road.",waste,worry,Sanitation Dept.
686,"Construction debris dumped illegally near on the main road, obstructing road.",waste,worry,Sanitation Dept.
687,"Construction debris dumped illegally near opposite the hospital, obstructing road.",waste,anger,Sanitation Dept.
688,"Construction debris dumped illegally near opposite the hospital, obstructing road.",waste,concern,Sanitation Dept.
689,"Construction debris dumped illegally near opposite the hospital, obstructing road.",waste,disgust,Sanitation Dept.
690,"Construction debris dumped illegally near opposite the hospital, obstructing road.",waste,frustration,Sanitation Dept.
691,"Construction debris dumped on the roadside near at the bus stop, obstructing traffic.",waste,neutral,Sanitation Dept.
692,"Construction debris dumped on the roadside near at the bus stop, obstructing traffic.",waste,neutral,Sanitation Dept.
693,"Construction debris dumped on the roadside near at the bus stop, obstructing traffic.",waste,neutral,Sanitation Dept.
694,"Construction debris dumped on the roadside near beside the park, obstructing traffic.",waste,anger,Sanitation Dept.
695,"Construction debris dumped on the roadside near beside the park, obstructing traffic.",waste,worry,Sanitation Dept.
696,"Construction debris dumped on the roadside near by the lake, obstructing traffic.",waste,neutral,Sanitation Dept.
697,"Construction debris dumped on the roadside near in our colony, obstructing traffic.",waste,anger,Sanitation Dept.
698,"Construction debris dumped on the roadside near in our colony, obstructing traffic.",waste,frustration,Sanitation Dept.
699,"Construction debris dumped on the roadside near in our colony, obstructing traffic.",waste,frustration,Sanitation Dept.
700,"Construction debris dumped on the roadside near in our colony, obstructing traffic.",waste,sadness,Sanitation Dept.
701,"Construction debris dumped on the roadside near inside the hostel, obstructing traffic.",waste,frustration,Sanitation Dept.
702,"Construction debris dumped on the roadside near near the market, obstructing traffic.",waste,disgust,Sanitation Dept.
703,"Construction debris dumped on the roadside near near the market, obstructing traffic.",waste,sadness,Sanitation Dept.
704,"Construction debris dumped on the roadside near near the market, obstructing traffic.",waste,urgency,Sanitation Dept.
705,"Construction debris dumped on the roadside near outside the school, obstructing traffic.",waste,disgust,Sanitation Dept.
706,"Contaminated water coming from municipal tap in at the bus stop, Hyderabad.",water,worry,Municipality
707,"Contaminated water coming from municipal tap in at the bus stop, Trichy.",water,neutral,Municipality
708,"Contaminated water coming from municipal tap in at the bus stop, Visakhapatnam.",water,worry,Municipality
709,"Contaminated water coming from municipal tap in behind the apartment, Jaipur.",water,anger,Municipality
710,"Contaminated water coming from municipal tap in behind the apartment, Jaipur.",water,disgust,Municipality
711,"Contaminated water coming from municipal tap in behind the apartment, Mumbai.",water,anger,Municipality
712,"Contaminated water coming from municipal tap in behind the apartment, Vellore.",water,concern,Municipality
713,"Contaminated water coming from municipal tap in beside the park, Nagpur.",water,frustration,Municipality
714,"Contaminated water coming from municipal tap in beside the park, Pune.",water,sadness,Municipality
715,"Contaminated water coming from municipal tap in beside the park, Surat.",water,frustration,Municipality
716,"Contaminated water coming from municipal tap in by the lake, Bengaluru.",water,concern,Municipality
717,"Contaminated water coming from municipal tap in by the lake, Mumbai.",water,concern,Municipality
718,"Contaminated water coming from municipal tap in by the lake, Patna.",water,anger,Municipality
719,"Contaminated water coming from municipal tap in by the lake, Patna.",water,worry,Municipality
720,"Contaminated water coming from municipal tap in by the lake, Surat.",water,frustration,Municipality
721,"Contaminated water coming from municipal tap in by the lake, Thiruvananthapuram.",water,sadness,Municipality
722,"Contaminated water coming from municipal tap in by the lake, Visakhapatnam.",water,neutral,Municipality
723,"Contaminated water coming from municipal tap in in our colony, Bengaluru.",water,concern,Municipality
724,"Contaminated water coming from municipal tap in in our colony, Chennai.",water,disgust,Municipality
725,"Contaminated water coming from municipal tap in in our colony, Kolkata.",water,urgency,Municipality
726,"Contaminated water coming from municipal tap in in our colony, Nagpur.",water,frustration,Municipality
727,"Contaminated water coming from municipal tap in in our colony, Surat.",water,urgency,Municipality
728,"Contaminated water coming from municipal tap in in our colony, Trichy.",water,anger,Municipality
729,"Contaminated water coming from municipal tap in in our colony, Trichy.",water,sadness,Municipality
730,"Contaminated water coming from municipal tap in in our colony, Visakhapatnam.",water,urgency,Municipality
731,"Contaminated water coming from municipal tap in in the municipal ward, Coimbatore.",water,worry,Municipality
732,"Contaminated water coming from municipal tap in in the municipal ward, Guwahati.",water,worry,Municipality
733,"Contaminated water coming from municipal tap in in the municipal ward, Mumbai.",water,anger,Municipality
734,"Contaminated water coming from municipal tap in in the municipal ward, Vellore.",water,concern,Municipality
735,"Contaminated water coming from municipal tap in inside the hostel, Bengaluru.",water,urgency,Municipality
736,"Contaminated water coming from municipal tap in inside the hostel, Chennai.",water,concern,Municipality
737,"Contaminated water coming from municipal tap in inside the hostel, Delhi.",water,anger,Municipality
738,"Contaminated water coming from municipal tap in inside the hostel, Hyderabad.",water,urgency,Municipality
739,"Contaminated water coming from municipal tap in near the market, Chennai.",water,anger,Municipality
740,"Contaminated water coming from municipal tap in near the market, Chennai.",water,urgency,Municipality
741,"Contaminated water coming from municipal tap in near the market, Coimbatore.",water,neutral,Municipality
742,"Contaminated water coming from municipal tap in near the market, Hyderabad.",water,disgust,Municipality
743,"Contaminated water coming from municipal tap in near the market, Mysuru.",water,worry,Municipality
744,"Contaminated water coming from municipal tap in near the market, Vellore.",water,disgust,Municipality
745,"Contaminated water coming from municipal tap in near the railway station, Delhi.",water,urgency,Municipality
746,"Contaminated water coming from municipal tap in near the railway station, Kolkata.",water,concern,Municipality
747,"Contaminated water coming from municipal tap in near the railway station, Lucknow.",water,sadness,Municipality
748,"Contaminated water coming from municipal tap in near the railway station, Visakhapatnam.",water,anger,Municipality
749,"Contaminated water coming from municipal tap in near the temple, Indore.",water,disgust,Municipality
750,"Contaminated water coming from municipal tap in near the temple, Mangalore.",water,concern,Municipality
751,"Contaminated water coming from municipal tap in near the temple, Surat.",water,concern,Municipality
752,"Contaminated water coming from municipal tap in near the temple, Thiruvananthapuram.",water,sadness,Municipality
753,"Contaminated water coming from municipal tap in near the temple, Visakhapatnam.",water,concern,Municipality
754,"Contaminated water coming from municipal tap in next to the metro station, Indore.",water,disgust,Municipality
755,"Contaminated water coming from municipal tap in next to the metro station, Kochi.",water,worry,Municipality
756,"Contaminated water coming from municipal tap in next to the metro station, Nagpur.",water,frustration,Municipality
757,"Contaminated water coming from municipal tap in next to the metro station, Nagpur.",water,worry,Municipality
758,"Contaminated water coming from municipal tap in next to the metro station, Visakhapatnam.",water,anger,Municipality
759,"Contaminated water coming from municipal tap in on the main road, Chennai.",water,concern,Municipality
760,"Contaminated water coming from municipal tap in on the main road, Delhi.",water,anger,Municipality
761,"Contaminated water coming from municipal tap in on the main road, Kochi.",water,anger,Municipality
762,"Contaminated water coming from municipal tap in on the main road, Kolkata.",water,anger,Municipality
763,"Contaminated water coming from municipal tap in on the main road, Mysuru.",water,concern,Municipality
764,"Contaminated water coming from municipal tap in on the main road, Pune.",water,sadness,Municipality
765,"Contaminated water coming from municipal tap in on the main road, Surat.",water,worry,Municipality
766,"Contaminated water coming from municipal tap in opposite the hospital, Coimbatore.",water,urgency,Municipality
767,"Contaminated water coming from municipal tap in opposite the hospital, Delhi.",water,worry,Municipality
768,"Contaminated water coming from municipal tap in opposite the hospital, Kolkata.",water,neutral,Municipality
769,"Contaminated water coming from municipal tap in opposite the hospital, Lucknow.",water,neutral,Municipality
770,"Contaminated water coming from municipal tap in opposite the hospital, Madurai.",water,worry,Municipality
771,"Contaminated water coming from municipal tap in opposite the hospital, Mysuru.",water,sadness,Municipality
772,"Contaminated water coming from municipal tap in opposite the hospital, Mysuru.",water,urgency,Municipality
773,"Contaminated water coming from municipal tap in opposite the hospital, Thiruvananthapuram.",water,concern,Municipality
774,"Contaminated water coming from municipal tap in outside the school, Coimbatore.",water,anger,Municipality
775,"Contaminated water coming from municipal tap in outside the school, Coimbatore.",water,urgency,Municipality
776,"Contaminated water coming from municipal tap in outside the school, Hyderabad.",water,worry,Municipality
777,"Contaminated water coming from municipal tap in outside the school, Kolkata.",water,neutral,Municipality
778,"Contaminated water coming from municipal tap in outside the school, Madurai.",water,concern,Municipality
779,"Contaminated water coming from municipal tap in outside the school, Madurai.",water,disgust,Municipality
780,"Contaminated water coming from municipal tap in outside the school, Pune.",water,urgency,Municipality
781,"Contaminated water coming from municipal tap in outside the school, Pune.",water,urgency,Municipality
